Date,Open,High,Low,Close,Adj Close,Volume
2021-01-18,6955.000000,7125.000000,6845.000000,7120.000000,6731.111328,86343000
2021-01-19,7120.000000,7120.000000,7005.000000,7095.000000,6707.477539,73777000
2021-01-20,7165.000000,7295.000000,7070.000000,7095.000000,6707.477539,107216000
2021-01-21,7280.000000,7300.000000,7060.000000,7075.000000,6688.569336,66428000
2021-01-22,7075.000000,7160.000000,7075.000000,7080.000000,6693.296387,80829000
2021-01-25,7200.000000,7200.000000,7000.000000,7035.000000,6650.753906,76836500
2021-01-26,6955.000000,7000.000000,6820.000000,6820.000000,6447.496582,98658000
2021-01-27,6820.000000,6930.000000,6705.000000,6790.000000,6419.135742,97920000
2021-01-28,6790.000000,6925.000000,6790.000000,6900.000000,6523.127441,104627000
2021-01-29,6900.000000,7000.000000,6760.000000,6760.000000,6390.773926,132762500
2021-02-01,6760.000000,6920.000000,6595.000000,6820.000000,6447.496582,113129000
2021-02-02,6965.000000,6980.000000,6800.000000,6800.000000,6428.589355,86741000
2021-02-03,7000.000000,7000.000000,6825.000000,6825.000000,6452.223633,67291000
2021-02-04,6920.000000,7000.000000,6835.000000,6855.000000,6480.585449,80950500
2021-02-05,6870.000000,6950.000000,6855.000000,6915.000000,6537.308594,51602000
2021-02-08,7050.000000,7055.000000,6880.000000,6920.000000,6542.034668,45604000
2021-02-09,7000.000000,7030.000000,6955.000000,6980.000000,6598.757813,75574000
2021-02-10,7050.000000,7050.000000,6900.000000,6920.000000,6542.034668,44984500
2021-02-11,6985.000000,6985.000000,6840.000000,6880.000000,6504.220215,36926000
2021-02-15,6830.000000,6890.000000,6720.000000,6800.000000,6428.589355,83922000
2021-02-16,6880.000000,6945.000000,6830.000000,6940.000000,6560.942871,47221000
2021-02-17,6890.000000,6960.000000,6850.000000,6900.000000,6523.127441,66011500
2021-02-18,6850.000000,6900.000000,6735.000000,6735.000000,6367.140137,91204000
2021-02-19,6780.000000,6850.000000,6760.000000,6825.000000,6452.223633,70487500
2021-02-22,6900.000000,6940.000000,6790.000000,6790.000000,6419.135742,68913000
2021-02-23,6820.000000,6845.000000,6775.000000,6825.000000,6452.223633,58360000
2021-02-24,6825.000000,6835.000000,6725.000000,6725.000000,6357.686035,71869000
2021-02-25,6740.000000,6770.000000,6680.000000,6705.000000,6338.778320,78688000
2021-02-26,6705.000000,6810.000000,6645.000000,6710.000000,6343.504883,173631500
2021-03-01,6830.000000,7045.000000,6800.000000,7045.000000,6660.207520,205539000
2021-03-02,7120.000000,7160.000000,7000.000000,7015.000000,6631.846680,81446500
2021-03-03,7065.000000,7085.000000,7000.000000,7000.000000,6617.665527,84470000
2021-03-04,6905.000000,7000.000000,6720.000000,6720.000000,6352.958496,120802500
2021-03-05,6720.000000,6925.000000,6720.000000,6800.000000,6428.589355,111871500
2021-03-08,6950.000000,6950.000000,6720.000000,6720.000000,6352.958496,90883000
2021-03-09,6700.000000,6715.000000,6600.000000,6605.000000,6244.240234,135582000
2021-03-10,6720.000000,6720.000000,6620.000000,6705.000000,6338.778320,50302000
2021-03-12,6875.000000,6880.000000,6715.000000,6765.000000,6395.500977,74328000
2021-03-15,6815.000000,6820.000000,6665.000000,6665.000000,6300.963379,57416000
2021-03-16,6710.000000,6710.000000,6620.000000,6625.000000,6263.147461,70755500
2021-03-17,6650.000000,6665.000000,6605.000000,6610.000000,6248.966797,71474500
2021-03-18,6620.000000,6720.000000,6610.000000,6705.000000,6338.778320,70067500
2021-03-19,6770.000000,6770.000000,6625.000000,6760.000000,6390.773926,125853000
2021-03-22,6640.000000,6680.000000,6610.000000,6620.000000,6258.420898,67523500
2021-03-23,6720.000000,6720.000000,6555.000000,6565.000000,6206.424316,127762500
2021-03-24,6515.000000,6550.000000,6420.000000,6440.000000,6088.252441,152050000
2021-03-25,6400.000000,6440.000000,6330.000000,6370.000000,6022.075684,119101500
2021-03-26,6370.000000,6445.000000,6300.000000,6415.000000,6064.618164,134467500
2021-03-29,6410.000000,6515.000000,6360.000000,6360.000000,6012.621582,113370500
2021-03-30,6370.000000,6455.000000,6370.000000,6395.000000,6045.710449,83115500
2021-03-31,6390.000000,6395.000000,6145.000000,6215.000000,5875.541016,223390500
2021-04-01,6215.000000,6270.000000,6155.000000,6225.000000,5884.995605,112286000
2021-04-05,6250.000000,6290.000000,6155.000000,6155.000000,5818.818359,73311500
2021-04-06,6135.000000,6170.000000,6080.000000,6165.000000,5828.272949,80215000
2021-04-07,6155.000000,6275.000000,6135.000000,6250.000000,5908.629883,107908000
2021-04-08,6200.000000,6215.000000,6125.000000,6135.000000,5881.212402,123697500
2021-04-09,6315.000000,6320.000000,6145.000000,6200.000000,5943.523926,116961000
2021-04-12,6295.000000,6295.000000,6060.000000,6065.000000,5814.108398,110411500
2021-04-13,6050.000000,6060.000000,5980.000000,6000.000000,5751.797363,119211500
2021-04-14,6105.000000,6305.000000,6060.000000,6305.000000,6044.180664,135519500
2021-04-15,6305.000000,6310.000000,6180.000000,6280.000000,6020.214355,102686500
2021-04-16,6370.000000,6370.000000,6215.000000,6275.000000,6015.421387,79293500
2021-04-19,6275.000000,6280.000000,6230.000000,6270.000000,6010.628906,47095000
