Date,User,Tweet
2022-12-28 01:45:10+00:00,GeryNelwan,"Waspada kehadiran Anies membawa kehancuran
- Tolak Anies Baswedan -
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/nnBzwU94cu"
2022-12-28 01:45:02+00:00,KigundulG,@PowerInvestindo @DewiOzza @aniesbaswedan @JarnasABW @HelmiFelis_ @alisyarief @GeiszChalifah @sutanmangara @bachrum_achmadi @ekowboy2 @musniumar @UAS_AbdulSomad @adihidayat_fans @ustadzkhalid @aagym @Opposite6980 @MUIPusat @PKSejahtera @PDemokrat @NasDem WAH NAMANYA JDI PAULUS ANIES DONG..
2022-12-28 01:44:52+00:00,GeryNelwan,"Anies budak dari ormas radikal
- Tolak Anies Baswedan -
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/n1PfMnFHCc"
2022-12-28 01:43:29+00:00,Piyo2___,@IxNdheso @aniesbaswedan @aniesmania @Relawananies @SuaraAnies @sobat_anies Dihadiri lautan cabe dan bawang ..
2022-12-28 01:42:55+00:00,HariSuwondoSug2,"@BosPurwa @aniesbaswedan Cuman BERUDU yg BLOONYA FENOMENAL yg bilang Dasar MENTRI PECATAN JOKOWI, bisanya omong belaka"
2022-12-28 01:42:39+00:00,AmiPermata12,@king_leond  Anies Baswedan keparat!!!! 🤬🤬
2022-12-28 01:42:38+00:00,AmiPermata12,@king_leond  Anies Baswedan radikal munafik!!!🤬🤬
2022-12-28 01:42:31+00:00,RaffaelleJuan,"@aniesbaswedan hadir di acara natal di bpk toleransi
Sdangkan pak @jokowi dtg ke acara natal di blg haram n ga etis.
Apa kalian pkir smua rakyat indonesia bdoh smp ga bs bedakan mana bnar mana salah?
Ingat..anies ga pntas sma skali bahkan utk nyapres!
@NataliusPigai2 
@musniumar"
2022-12-28 01:42:21+00:00,pertamini75,@WagimanDeep_IX Bisalah kepemimpinan @aniesbaswedan dong...
2022-12-28 01:42:04+00:00,king_leond,"Jangan pernah mau percaya yang namanya Anies Baswedan (Pembohong)
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/lOSnllucmX"
2022-12-28 01:41:51+00:00,riv2204,@petruspasaribuu @aniesbaswedan @prabowo @Gerindra Ngibul aja !😏
2022-12-28 01:41:43+00:00,Qshareina,@ariefpost @aniesbaswedan @feryfarhati Ya boleh2 aja cuma kan anda komen bgt krna mikirnya pak anies lg kampanye. Klo utk urusan program2 beliau udah lebih faham pastinya.
2022-12-28 01:41:03+00:00,Javras1,"@AntonKu08408962 @BosPurwa @aniesbaswedan Hok Hok Presiden  Cino ,Coek."
2022-12-28 01:40:57+00:00,rivaldi04812418,@QaillaAsyiqah @aniesbaswedan Itu anak kecil baju kuning?
2022-12-28 01:40:38+00:00,putri_Aalona,"@LikeEarth43351 @aniesbaswedan @NasDem Lambat atau cepat masyarakat akan tau kebenaran yg sesungguhnya,,,,skrng para kadrun boleh aj teriak ap aj tp nanti mereka juga akan sadar bhw yg disanjungnya adalah penipu dgn kata kata yg manis."
